bairro,tipo,quartos,banheiros,vagas,area,valor_aluguel
Tatuapé,casa,1,1,0,48.2,3074
Itaim Bibi,kitnet,1,1,1,86.5,5755
Tatuapé,kitnet,3,1,2,76.8,5968
Tatuapé,kitnet,1,1,2,40.6,4802
Tatuapé,casa,3,2,2,53.7,6752
Itaim Bibi,kitnet,2,1,0,75.0,7870
Itaim Bibi,apto,1,2,0,48.6,6463
Pinheiros,casa,2,2,1,61.6,7907
Itaim Bibi,casa,3,2,1,68.0,7793
Tatuapé,apto,3,1,1,67.8,5063
Vila Mariana,casa,2,2,2,65.1,7652
Tatuapé,casa,2,1,1,46.9,4530
Butantã,casa,1,1,1,49.0,3532
Butantã,apto,1,1,2,37.3,4461
Butantã,apto,2,2,1,28.8,4212
Moema,apto,2,2,1,57.7,6761
Itaim Bibi,casa,1,2,0,76.3,6497
Moema,apto,3,2,1,32.4,7629
Itaim Bibi,casa,2,2,1,65.5,8028
Tatuapé,kitnet,1,1,0,75.7,5584
Vila Mariana,kitnet,3,1,0,23.3,4966
Vila Mariana,apto,1,2,2,54.6,5492
Pinheiros,kitnet,3,2,0,92.9,9239
Pinheiros,apto,1,1,0,71.0,6420
Moema,apto,2,2,0,22.6,6194
Moema,apto,2,1,0,73.2,5946
Pinheiros,apto,3,2,1,45.0,6302
Moema,kitnet,1,2,1,73.8,6372
Tatuapé,apto,3,2,1,46.2,5615
Vila Mariana,kitnet,2,2,1,58.9,5862
Moema,casa,1,2,1,49.2,7760
Moema,apto,2,1,2,60.1,6145
Tatuapé,casa,3,2,0,48.7,4431
Moema,apto,2,2,2,55.5,7862
Itaim Bibi,casa,1,2,0,36.5,6412
Vila Mariana,casa,2,1,2,69.8,4425
Moema,casa,2,1,1,63.5,5817
Moema,apto,1,2,1,27.7,5619
Vila Mariana,kitnet,1,1,0,79.9,6581
Itaim Bibi,casa,3,2,1,56.5,9804
Vila Mariana,apto,1,1,1,63.2,4965
Vila Mariana,casa,2,2,2,75.3,6922
Itaim Bibi,apto,3,2,0,66.6,7627
Butantã,kitnet,1,1,1,83.3,5606
Itaim Bibi,kitnet,2,2,2,54.1,9047
Butantã,apto,1,2,2,80.7,6725
Butantã,kitnet,3,2,2,62.5,6551
Moema,kitnet,2,2,1,70.2,7134
Itaim Bibi,casa,3,2,2,68.1,8949
Vila Mariana,apto,3,1,0,84.8,8149
Moema,kitnet,2,1,2,74.4,7512
Tatuapé,kitnet,1,1,1,51.1,2482
Butantã,kitnet,2,2,1,47.2,4827
Butantã,kitnet,1,2,0,59.0,4247
Moema,kitnet,2,2,1,44.8,5587
Tatuapé,kitnet,1,1,0,39.0,3454
Vila Mariana,apto,3,2,2,20.0,6505
Itaim Bibi,casa,2,2,0,29.0,7958
Tatuapé,apto,1,1,1,99.7,4325
Tatuapé,apto,3,1,0,46.9,5491
Itaim Bibi,kitnet,3,1,1,98.1,9916
Tatuapé,kitnet,2,2,1,68.1,5958
Pinheiros,casa,1,2,0,59.0,4865
Vila Mariana,kitnet,2,1,2,30.0,4448
Vila Mariana,apto,2,1,2,60.1,6281
Itaim Bibi,apto,3,2,1,97.8,9607
Pinheiros,kitnet,1,1,0,91.2,5787
Vila Mariana,casa,3,2,2,65.5,8498
Tatuapé,casa,1,1,2,37.0,3490
Itaim Bibi,casa,1,1,1,40.9,4511
Tatuapé,apto,2,1,1,42.9,4209
Butantã,kitnet,1,2,0,85.6,5651
Butantã,kitnet,2,1,1,92.6,6353
Pinheiros,kitnet,2,2,0,63.9,6785
Butantã,casa,1,1,1,53.9,5413
Tatuapé,casa,3,1,2,91.0,5937
Tatuapé,kitnet,1,1,1,40.4,3274
Pinheiros,casa,3,1,1,61.0,8267
Tatuapé,casa,3,1,2,69.3,4604
Itaim Bibi,apto,2,2,2,42.7,7439
Tatuapé,casa,1,1,0,47.3,4502
Pinheiros,casa,3,2,0,45.7,7643
Tatuapé,casa,1,1,0,88.3,5278
Butantã,apto,1,1,2,98.3,6397
Itaim Bibi,apto,3,2,1,62.3,7636
Pinheiros,kitnet,2,2,2,54.6,7938
Butantã,casa,3,1,1,48.0,4480
Butantã,casa,1,1,2,60.0,3789
Vila Mariana,casa,2,2,2,49.0,6580
Itaim Bibi,casa,3,1,0,58.1,7247
Moema,kitnet,3,1,2,68.3,8513
Tatuapé,apto,2,2,2,51.9,5701
Moema,kitnet,3,2,0,56.2,9209
Itaim Bibi,apto,1,1,1,56.3,6836
Butantã,casa,2,1,2,53.6,4715
Itaim Bibi,casa,1,1,2,51.2,7176
Butantã,kitnet,3,1,1,75.2,5592
Butantã,apto,3,2,1,24.6,5868
Pinheiros,casa,3,2,0,91.5,8096
Vila Mariana,apto,3,1,1,62.7,7002
Itaim Bibi,apto,1,1,1,72.2,5541
Tatuapé,kitnet,2,1,1,74.5,3534
Pinheiros,kitnet,3,1,0,45.8,5074
Pinheiros,casa,1,2,2,41.7,7148
Tatuapé,casa,2,1,1,39.4,3362
Tatuapé,casa,3,2,0,55.1,6138
Vila Mariana,apto,2,2,1,74.0,6206
Vila Mariana,casa,3,2,1,48.3,6458
Pinheiros,apto,2,1,0,72.2,6329
Tatuapé,kitnet,2,2,1,20.0,5415
Pinheiros,casa,2,2,2,52.3,7236
Tatuapé,apto,2,1,2,83.3,6208
Moema,casa,3,1,0,56.6,8435
Moema,kitnet,3,1,1,43.4,6796
Itaim Bibi,apto,1,2,1,46.9,7461
Tatuapé,kitnet,3,2,2,20.0,5821
Itaim Bibi,casa,2,1,2,39.8,7705
Itaim Bibi,casa,2,1,1,81.1,7810
Butantã,kitnet,1,1,0,48.3,3401
Itaim Bibi,casa,2,1,1,50.7,6325
Tatuapé,apto,2,2,0,20.0,3154
Moema,kitnet,2,2,2,27.4,6088
Vila Mariana,apto,1,1,2,83.8,6508
Tatuapé,casa,3,2,2,72.3,6488
Pinheiros,kitnet,2,2,1,34.1,6267
Butantã,casa,2,2,2,47.4,5812
Butantã,kitnet,1,2,1,59.4,3935
Pinheiros,casa,1,1,1,36.1,4011
Itaim Bibi,apto,3,2,2,20.0,7317
Pinheiros,apto,1,1,0,56.8,4584
Itaim Bibi,casa,3,2,2,71.5,8339
Pinheiros,apto,3,1,2,71.8,9012
Moema,casa,2,1,1,77.5,6398
Tatuapé,casa,3,2,0,28.9,6386
Itaim Bibi,kitnet,2,2,2,61.2,8266
Moema,apto,3,1,0,54.6,8128
Butantã,kitnet,1,1,2,58.3,5342
Itaim Bibi,casa,2,1,2,55.8,7966
Vila Mariana,casa,2,2,1,46.8,7233
Itaim Bibi,casa,3,1,1,20.0,5934
Itaim Bibi,apto,1,2,0,83.2,7272
Moema,kitnet,3,2,1,66.6,7716
Itaim Bibi,apto,1,2,0,30.3,4453
Butantã,apto,1,2,2,69.5,4855
Itaim Bibi,kitnet,2,2,1,51.1,8930
Itaim Bibi,casa,1,1,0,51.6,5910
Tatuapé,kitnet,2,2,2,44.6,6726
Vila Mariana,casa,3,1,0,70.7,8291
Itaim Bibi,apto,3,2,1,44.0,10316
Moema,apto,1,1,0,38.1,6966
Tatuapé,casa,2,2,0,82.6,7566
Vila Mariana,apto,2,1,0,56.4,5753
Vila Mariana,kitnet,1,1,0,57.1,4994
Pinheiros,apto,2,2,2,73.8,7651
Butantã,kitnet,2,2,2,46.6,5399
Pinheiros,apto,3,1,2,50.6,7139
Pinheiros,apto,1,1,2,66.1,6685
Butantã,apto,1,2,1,29.2,3503
Tatuapé,apto,3,1,1,64.4,4631
Moema,casa,3,2,0,44.9,7737
Itaim Bibi,apto,1,1,2,77.1,6859
Moema,casa,1,2,1,70.9,6657
Pinheiros,casa,2,2,1,68.3,6835
Itaim Bibi,apto,3,2,0,27.9,6838
Vila Mariana,apto,1,1,1,57.9,6026
Tatuapé,apto,1,1,2,36.5,3660
Butantã,apto,3,1,1,59.3,6706
Butantã,apto,3,1,1,20.0,4765
Moema,apto,3,1,2,29.2,7105
Itaim Bibi,casa,3,1,0,83.8,8540
Tatuapé,apto,3,2,2,67.4,5488
Moema,apto,1,2,2,52.9,7158
Pinheiros,casa,1,1,1,41.8,5734
Moema,casa,1,1,2,38.3,6842
Tatuapé,apto,1,2,0,64.0,3338
Butantã,apto,3,1,0,53.1,4079
Pinheiros,casa,2,2,0,90.9,6899
Itaim Bibi,apto,1,1,1,56.3,7597
Butantã,casa,1,1,2,61.2,4912
Butantã,kitnet,1,1,1,32.2,2947
Moema,casa,2,1,2,52.8,6021
Pinheiros,apto,2,2,0,63.5,5959
Vila Mariana,kitnet,1,1,2,52.5,4675
Butantã,apto,3,2,0,50.3,6357
Butantã,apto,1,1,1,66.5,5406
Tatuapé,apto,2,2,2,90.3,5669
Pinheiros,kitnet,2,1,2,62.9,7290
Pinheiros,kitnet,2,2,2,82.9,8207
Moema,casa,3,1,1,72.4,7229
Tatuapé,casa,3,1,1,81.7,6184
Pinheiros,casa,1,2,1,47.8,5907
Itaim Bibi,casa,2,1,1,55.9,7306
Tatuapé,casa,1,2,2,55.9,3410
Pinheiros,kitnet,2,1,1,70.9,6733
Pinheiros,kitnet,2,2,1,75.8,7684
Moema,apto,2,2,1,62.5,8839
Itaim Bibi,casa,1,1,0,77.5,6291
Itaim Bibi,kitnet,1,2,0,48.7,5926
Moema,casa,1,1,1,77.7,6764
Vila Mariana,apto,1,1,1,80.3,6042
Butantã,kitnet,2,2,1,73.5,5984
Moema,casa,3,2,2,62.7,9064
Vila Mariana,casa,1,2,2,74.3,5428
Moema,casa,1,1,2,42.1,6481
Pinheiros,apto,2,1,1,64.0,5825
Vila Mariana,casa,3,1,2,66.0,6966
Tatuapé,casa,1,2,2,33.4,5469
Butantã,kitnet,1,2,0,69.5,3666
Itaim Bibi,apto,2,2,1,35.0,6727
Itaim Bibi,apto,2,2,1,51.4,6424
Tatuapé,casa,3,1,2,60.8,6046
Pinheiros,kitnet,1,2,1,45.4,6400
Moema,casa,1,2,0,61.7,6685
Butantã,casa,2,2,0,61.3,5147
Pinheiros,kitnet,2,1,0,43.6,6571
Butantã,casa,3,1,0,71.4,6105
Itaim Bibi,apto,2,1,0,44.7,7197
Vila Mariana,kitnet,2,2,2,105.8,8545
Itaim Bibi,casa,1,2,1,57.8,4633
Butantã,apto,1,2,2,36.6,4336
Pinheiros,casa,3,1,2,40.3,5847
Pinheiros,kitnet,1,2,1,83.0,6025
Tatuapé,casa,2,1,1,51.8,5834
Butantã,casa,3,1,0,32.7,4382
Pinheiros,casa,3,2,2,77.1,9726
Tatuapé,kitnet,1,2,1,51.7,3225
Pinheiros,kitnet,1,1,2,73.1,5425
Tatuapé,apto,3,1,0,78.7,6471
Tatuapé,casa,3,2,0,65.5,5592
Pinheiros,casa,1,1,0,107.9,6983
Itaim Bibi,apto,2,1,2,25.5,6475
Butantã,kitnet,1,2,1,43.6,4195
Butantã,apto,3,2,0,54.9,5503
Pinheiros,casa,3,2,0,105.2,8600
Vila Mariana,apto,1,2,1,96.0,7192
Vila Mariana,apto,2,2,2,85.8,8665
Moema,kitnet,2,2,2,44.1,7162
Pinheiros,apto,1,2,1,46.4,5279
Butantã,apto,1,2,2,43.4,4185
Itaim Bibi,kitnet,3,1,0,44.3,8406
Itaim Bibi,kitnet,2,2,2,89.9,9448
Vila Mariana,apto,1,2,0,55.1,3635
Pinheiros,apto,1,1,1,57.8,3979
Butantã,kitnet,2,1,2,75.5,5201
Vila Mariana,kitnet,3,2,2,26.7,6486
Tatuapé,kitnet,2,2,0,61.1,5005
Butantã,casa,3,2,1,38.1,5954
Pinheiros,apto,2,1,0,54.1,5683
Pinheiros,kitnet,3,2,0,48.3,7866
Pinheiros,apto,3,2,1,47.2,7635
Pinheiros,apto,1,2,1,64.5,6197
Pinheiros,kitnet,1,2,0,64.4,6749
Itaim Bibi,casa,3,1,2,55.6,6849
Tatuapé,apto,3,2,1,67.4,6154
Butantã,apto,1,1,1,42.6,3989
Itaim Bibi,casa,2,1,1,73.6,8191
Butantã,apto,3,1,1,55.9,4304
Vila Mariana,kitnet,3,1,0,50.3,5801
Vila Mariana,casa,1,2,1,44.1,5444
Butantã,casa,3,1,2,55.2,6337
Vila Mariana,casa,2,1,1,97.4,7971
Pinheiros,casa,3,1,1,58.7,7571
Itaim Bibi,casa,1,1,2,37.1,6165
Itaim Bibi,kitnet,2,2,1,78.4,8791
Butantã,casa,1,2,0,50.6,4056
Butantã,casa,2,1,0,65.7,5088
Pinheiros,casa,1,1,2,47.9,6172
Itaim Bibi,apto,2,2,1,85.6,8432
Butantã,kitnet,3,2,1,48.2,6135
Itaim Bibi,casa,2,1,0,88.0,8608
Itaim Bibi,kitnet,1,2,0,39.0,6640
Butantã,kitnet,2,1,1,54.1,5911
Moema,kitnet,2,1,2,88.0,10103
Pinheiros,kitnet,3,2,0,63.4,7763
Moema,kitnet,1,1,1,105.4,7394
Vila Mariana,casa,1,1,2,54.6,5748
Pinheiros,kitnet,2,1,0,65.1,6529
Pinheiros,apto,3,1,0,98.1,8334
Itaim Bibi,kitnet,2,2,0,29.7,7688
Tatuapé,apto,1,1,2,27.2,2170
Tatuapé,kitnet,1,1,1,44.1,4934
Itaim Bibi,apto,3,1,2,76.3,10268
Tatuapé,casa,3,1,2,27.8,5389
Tatuapé,apto,1,2,1,71.9,5432
Pinheiros,apto,1,2,0,70.5,5823
Butantã,kitnet,1,1,0,100.3,5314
Moema,kitnet,2,2,1,80.9,8686
Pinheiros,apto,3,1,1,67.3,7725
Itaim Bibi,apto,1,1,0,87.2,7692
Itaim Bibi,kitnet,3,2,2,70.8,9525
Pinheiros,kitnet,1,1,0,50.8,5743
Vila Mariana,apto,3,2,1,37.1,6943
Pinheiros,casa,1,2,2,48.6,5139
Vila Mariana,apto,3,2,1,59.2,7642
Pinheiros,kitnet,2,1,2,63.5,8192
Itaim Bibi,casa,1,1,0,20.0,5079
Tatuapé,apto,1,2,2,55.6,5968
Butantã,apto,3,2,2,60.6,5783
Itaim Bibi,casa,2,1,2,71.0,7905
Tatuapé,kitnet,2,1,0,92.5,5063
Tatuapé,apto,3,2,0,63.7,6915
Pinheiros,kitnet,2,1,0,41.8,6767
Pinheiros,casa,2,1,2,23.6,5430
Tatuapé,kitnet,2,2,0,73.7,6349
Pinheiros,kitnet,1,2,1,42.6,6799
Pinheiros,apto,1,2,1,77.3,6494
Vila Mariana,apto,1,2,2,87.9,6842
Butantã,kitnet,2,2,2,29.1,5460
Moema,apto,2,1,0,71.1,6458
Itaim Bibi,apto,3,2,2,85.9,9564
Moema,casa,3,1,0,80.4,9826
Vila Mariana,kitnet,1,1,0,20.0,3300
Moema,kitnet,3,2,0,42.9,8071
Pinheiros,casa,3,2,1,34.4,7051
Itaim Bibi,apto,2,2,1,70.5,7883
Vila Mariana,casa,2,2,2,68.3,7025
Moema,kitnet,1,1,2,20.0,6902
Butantã,apto,1,1,1,54.0,4662
Tatuapé,casa,1,1,1,76.0,5248
Moema,apto,2,1,0,63.0,8169
Tatuapé,apto,2,1,2,62.9,5056
Itaim Bibi,apto,1,1,1,52.7,5543
Vila Mariana,kitnet,1,1,2,38.8,6279
Tatuapé,kitnet,1,2,1,59.7,4699
Butantã,apto,2,2,2,61.0,6546
Tatuapé,kitnet,3,1,2,72.3,5659
Moema,casa,2,1,2,73.9,8129
Pinheiros,kitnet,1,1,1,61.7,4774
Vila Mariana,kitnet,1,1,0,81.9,5608
Butantã,apto,1,2,0,52.5,3757
Tatuapé,kitnet,3,2,1,31.1,4431
Vila Mariana,casa,3,2,2,69.5,7344
Moema,apto,1,1,2,62.5,4941
Tatuapé,apto,1,1,0,69.9,3270
Tatuapé,kitnet,1,1,1,34.7,4067
Itaim Bibi,casa,3,2,2,95.8,10053
Vila Mariana,casa,1,2,0,74.2,4867
Tatuapé,apto,3,2,1,54.2,6266
Moema,kitnet,2,2,2,41.3,6536
Butantã,apto,1,2,0,81.5,5724
Pinheiros,apto,3,2,0,38.0,6346
Pinheiros,casa,2,1,1,105.2,7397
Moema,kitnet,3,1,2,47.7,7659
Tatuapé,apto,1,1,0,94.4,6980
Itaim Bibi,apto,2,1,2,56.3,6882
Moema,casa,2,2,0,91.6,8330
Butantã,apto,2,1,1,45.3,5284
Moema,casa,1,1,1,60.4,5641
Pinheiros,apto,2,1,0,76.1,5207
Pinheiros,apto,3,2,2,73.2,7616
Butantã,apto,3,2,2,82.0,7768
Pinheiros,kitnet,1,1,2,50.3,5334
Butantã,kitnet,3,1,0,61.7,5366
Vila Mariana,casa,3,2,1,85.0,8478
Pinheiros,casa,1,2,2,45.9,5232
Vila Mariana,kitnet,1,2,0,71.5,5573
Tatuapé,apto,3,2,1,55.6,4657
Moema,casa,1,2,1,64.1,7180
Itaim Bibi,kitnet,1,2,1,61.7,7234
Tatuapé,kitnet,2,2,1,44.2,5463
Moema,apto,2,1,2,54.8,6327
Tatuapé,kitnet,2,2,0,62.9,4933
Butantã,casa,2,1,2,57.9,4316
Moema,kitnet,3,1,2,91.5,8847
Pinheiros,apto,3,2,0,80.2,8891
Moema,casa,1,1,2,65.8,6617
Butantã,kitnet,1,1,0,44.7,2549
Vila Mariana,apto,1,2,0,43.5,4262
Butantã,kitnet,2,1,1,99.5,4996
Tatuapé,apto,2,2,2,39.8,3957
Tatuapé,kitnet,3,1,2,62.3,6505
Vila Mariana,casa,2,2,1,67.2,5360
Butantã,apto,1,2,2,53.8,5163
Pinheiros,apto,3,2,0,40.0,6519
Vila Mariana,kitnet,1,2,2,44.3,5004
Moema,apto,3,1,1,49.1,7654
Moema,casa,3,2,0,45.8,6724
Moema,apto,3,2,0,86.6,9369
Pinheiros,kitnet,3,2,0,59.8,6536
Vila Mariana,casa,1,2,0,49.5,4677
Pinheiros,kitnet,2,2,0,62.1,6060
Tatuapé,apto,2,2,2,73.4,6552
Moema,apto,2,1,0,53.1,7029
Tatuapé,casa,3,2,1,78.0,4444
Tatuapé,casa,2,1,2,34.6,4641
Itaim Bibi,kitnet,1,2,0,83.4,6007
Tatuapé,kitnet,3,2,2,59.8,6022
Tatuapé,kitnet,2,2,1,59.0,5185
Tatuapé,apto,3,1,0,46.1,4603
Tatuapé,apto,1,1,2,35.4,4164
Tatuapé,kitnet,3,1,1,26.7,5176
Vila Mariana,casa,1,2,1,44.7,4524
Vila Mariana,kitnet,2,2,2,71.8,6305
Itaim Bibi,casa,3,1,2,40.8,7694
Moema,apto,2,1,2,29.0,5236
Tatuapé,casa,1,1,2,41.8,3573
Vila Mariana,kitnet,3,1,0,52.3,7148
Moema,casa,3,1,1,53.1,6388
Tatuapé,apto,1,1,0,57.4,3551
Tatuapé,apto,1,1,2,80.7,4646
Tatuapé,kitnet,1,1,2,85.0,6854
Moema,kitnet,1,1,1,100.1,7173
Butantã,kitnet,2,2,1,27.5,4141
Tatuapé,apto,1,2,2,42.9,3562
Itaim Bibi,casa,3,2,0,74.0,8527
Itaim Bibi,kitnet,1,2,1,50.9,6944
Tatuapé,casa,2,1,2,77.2,5008
Butantã,casa,2,2,0,64.1,6115
Pinheiros,casa,2,2,2,91.6,8164
Butantã,apto,1,1,0,80.9,5407
Butantã,apto,2,1,2,81.2,5774
Tatuapé,kitnet,2,1,1,51.8,4847
Itaim Bibi,apto,2,2,2,58.1,7771
Tatuapé,apto,3,2,2,53.9,7283
Vila Mariana,casa,2,1,1,29.9,5089
Itaim Bibi,kitnet,2,2,2,89.4,8890
Vila Mariana,casa,1,1,1,74.9,5281
Vila Mariana,casa,1,2,1,53.1,4980
Tatuapé,casa,2,1,2,86.1,6173
Butantã,apto,2,2,0,47.4,5477
Moema,apto,3,1,1,23.2,6149
Moema,apto,3,2,0,80.1,8606
Pinheiros,kitnet,1,1,1,34.4,4980
Pinheiros,kitnet,2,2,2,56.1,7169
Pinheiros,apto,2,1,0,64.1,4758
Pinheiros,apto,1,2,1,67.7,5491
Butantã,apto,2,2,1,77.0,4916
Butantã,kitnet,2,2,2,71.6,6175
Itaim Bibi,casa,1,1,0,71.0,5909
Pinheiros,kitnet,2,2,0,44.2,5529
Pinheiros,casa,3,1,0,65.9,5921
Vila Mariana,kitnet,1,1,1,29.9,3974
Tatuapé,casa,2,1,1,91.2,4938
Moema,apto,1,1,2,31.9,6465
Moema,kitnet,1,2,1,53.1,6976
Vila Mariana,kitnet,3,1,0,33.6,5629
Itaim Bibi,kitnet,2,2,2,45.4,7320
Vila Mariana,kitnet,1,2,0,60.3,3678
Pinheiros,apto,2,1,1,49.4,5616
Itaim Bibi,apto,1,2,1,82.9,7077
Butantã,casa,2,1,0,64.5,5134
Pinheiros,apto,1,1,1,50.7,5818
Moema,casa,2,2,1,57.3,7680
Itaim Bibi,apto,2,2,2,84.4,9742
Itaim Bibi,casa,2,2,0,78.2,7491
Butantã,casa,2,1,2,37.2,4229
Moema,casa,1,2,1,46.4,7222
Moema,kitnet,1,1,2,69.5,7118
Itaim Bibi,casa,1,1,0,67.1,6314
Pinheiros,casa,2,2,0,39.0,7247
Vila Mariana,apto,2,1,2,75.0,7112
Tatuapé,casa,3,1,1,42.2,4913
Itaim Bibi,apto,1,1,0,86.1,6534
Pinheiros,apto,1,1,2,70.6,7279
Tatuapé,casa,3,2,0,37.4,5186
Moema,apto,3,1,1,49.4,7502
Tatuapé,casa,3,2,2,49.1,6513
Butantã,apto,1,1,2,63.2,5500
Pinheiros,kitnet,1,2,2,55.9,6618
Butantã,kitnet,1,2,1,37.1,4820
Moema,apto,1,1,0,32.1,5625
Itaim Bibi,casa,3,2,0,71.0,8873
Moema,casa,3,2,2,65.7,8086
Vila Mariana,casa,3,2,1,62.1,8512
Itaim Bibi,casa,3,1,0,65.4,6875
Itaim Bibi,kitnet,2,2,2,47.6,7876
Pinheiros,casa,2,2,2,63.7,6041
Itaim Bibi,apto,3,1,0,110.8,9145
Itaim Bibi,casa,3,1,2,83.5,8548
Moema,apto,2,2,1,54.2,7436
Butantã,casa,3,2,1,49.5,6159
Tatuapé,apto,2,1,2,20.0,3235
Moema,apto,2,1,0,81.4,7418
Pinheiros,kitnet,3,1,0,75.7,8287
Itaim Bibi,apto,2,2,2,49.1,6624
Vila Mariana,kitnet,3,2,1,31.4,5458
Itaim Bibi,kitnet,2,2,0,36.9,7395
Tatuapé,casa,1,1,2,68.9,4829
Moema,kitnet,1,1,0,58.2,6167
Pinheiros,apto,2,1,2,73.8,7833
Itaim Bibi,apto,2,2,0,61.7,6817
Pinheiros,apto,2,1,1,79.3,6465
Moema,casa,3,1,1,67.4,7508
Butantã,casa,1,2,2,76.6,5319
Butantã,kitnet,1,2,1,20.0,4672
Butantã,casa,3,1,2,35.3,3999
Butantã,apto,2,1,0,52.7,3626
Tatuapé,kitnet,2,1,1,81.6,4455
Vila Mariana,kitnet,1,2,2,97.6,8150
Butantã,kitnet,2,2,0,56.7,4610
Itaim Bibi,casa,2,2,2,47.8,7372
Butantã,casa,2,1,2,20.9,2935
Tatuapé,casa,1,1,2,77.3,4808
Pinheiros,kitnet,2,2,0,49.0,6763
Tatuapé,apto,2,2,2,119.2,7577
Moema,kitnet,1,1,2,45.2,6170
Butantã,apto,1,2,0,102.1,4511
Moema,casa,3,2,1,75.0,8387
Vila Mariana,apto,3,1,0,39.4,5801
Pinheiros,casa,2,2,1,64.6,6046
Butantã,kitnet,3,1,0,75.4,6487
Itaim Bibi,kitnet,3,2,1,55.5,8973
Pinheiros,kitnet,1,1,1,76.8,5680
Moema,apto,2,2,1,76.3,8570
Moema,apto,3,2,2,71.9,8770
Moema,kitnet,1,1,2,59.7,7608
Butantã,casa,3,1,0,36.5,6422
Pinheiros,apto,1,2,0,58.5,4779
Vila Mariana,kitnet,1,2,0,63.5,6021
Vila Mariana,casa,2,2,2,22.5,6518
Vila Mariana,apto,2,2,0,63.4,5325
Butantã,kitnet,1,2,0,58.1,3982
Butantã,casa,1,2,0,34.1,3253
Pinheiros,casa,2,2,2,53.3,6694
Tatuapé,kitnet,1,1,1,53.8,3728
Vila Mariana,casa,3,2,2,98.6,8299
Vila Mariana,casa,3,1,0,64.4,7102
Vila Mariana,casa,1,2,1,80.7,4705
Vila Mariana,apto,2,1,1,57.6,5050
Moema,apto,1,1,0,22.5,5512
Butantã,kitnet,2,2,2,73.4,6646
Tatuapé,apto,3,2,2,46.8,5058
Itaim Bibi,casa,1,2,0,53.3,6946
Moema,apto,1,2,2,38.9,7530
Pinheiros,apto,1,1,1,61.5,5604
Pinheiros,casa,3,2,1,81.3,7233
Vila Mariana,kitnet,1,1,2,78.7,6760
Vila Mariana,casa,2,1,1,91.7,8230
Butantã,apto,2,1,0,94.6,5128
Butantã,apto,1,2,2,20.0,3931
Butantã,apto,1,2,2,36.1,5256
Tatuapé,kitnet,1,2,0,23.8,3307
Tatuapé,apto,3,1,2,72.6,4881
Tatuapé,casa,3,2,1,46.1,5939
Moema,apto,3,1,0,50.2,6423
Itaim Bibi,casa,1,1,1,55.7,5453
Itaim Bibi,kitnet,2,1,2,67.7,6447
Itaim Bibi,casa,2,1,0,30.3,7061
Tatuapé,casa,3,1,2,34.8,4477
Pinheiros,apto,1,1,2,60.0,6167
Itaim Bibi,apto,3,2,2,84.0,9882
Moema,kitnet,1,1,0,59.5,6214
Itaim Bibi,apto,2,1,0,44.2,6762
Tatuapé,casa,3,2,2,20.0,5405
Butantã,apto,1,1,1,79.1,5082
Moema,apto,1,1,1,45.3,5350
Butantã,casa,3,1,1,37.1,4432
Butantã,kitnet,1,2,1,25.7,3687
Vila Mariana,apto,3,2,1,31.2,6036
Moema,kitnet,2,1,1,40.8,6867
Tatuapé,casa,2,1,1,55.2,5638
Itaim Bibi,kitnet,3,1,1,35.8,7550
Itaim Bibi,apto,3,2,1,63.7,7863
Butantã,kitnet,1,2,2,55.1,3207
Moema,apto,1,1,1,104.4,7118
Tatuapé,kitnet,1,1,2,25.9,2402
Moema,casa,1,2,1,63.2,6313
Butantã,casa,3,1,2,63.5,6398
Vila Mariana,apto,2,2,1,39.4,5749
Tatuapé,casa,3,1,1,61.9,7144
Pinheiros,apto,1,2,0,75.4,6548
Butantã,casa,3,2,0,61.9,7485
Moema,kitnet,3,2,2,87.7,9903
Moema,apto,3,2,0,20.0,7569
Tatuapé,apto,2,2,0,43.2,4208
Moema,apto,3,1,2,89.5,8125
Butantã,apto,2,2,2,78.2,5988
Tatuapé,apto,2,2,1,70.8,5615
Tatuapé,apto,2,1,1,84.7,5137
Pinheiros,casa,1,1,1,21.7,3649
Pinheiros,apto,3,2,2,75.9,8511
Moema,kitnet,3,2,1,81.3,8034
Butantã,kitnet,3,2,0,46.8,4278
Butantã,kitnet,3,1,1,112.6,6480
Tatuapé,casa,2,2,0,63.9,4930
Tatuapé,apto,3,2,2,20.0,4307
Moema,kitnet,1,2,0,67.6,6546
Vila Mariana,apto,2,2,1,45.6,6348
Pinheiros,casa,1,1,0,83.3,6459
Moema,casa,1,1,2,71.0,6500
Vila Mariana,kitnet,2,2,1,48.0,4898
Vila Mariana,casa,2,1,0,90.0,6041
Vila Mariana,kitnet,3,1,2,78.8,7988
Pinheiros,kitnet,2,1,1,43.4,6515
Tatuapé,casa,2,1,1,57.0,5091
Butantã,kitnet,2,1,0,70.3,6071
Itaim Bibi,apto,2,2,0,52.7,8565
Moema,kitnet,3,1,2,53.3,7513
Moema,apto,1,1,1,60.7,7611
Vila Mariana,kitnet,2,1,1,38.7,5052
Pinheiros,casa,2,2,2,20.0,6616
Tatuapé,kitnet,1,2,1,64.8,5310
Tatuapé,apto,3,1,1,20.2,2825
Pinheiros,casa,2,1,2,40.1,5231
Moema,kitnet,1,1,0,24.6,4060
Vila Mariana,apto,2,2,1,27.0,3885
Vila Mariana,apto,3,1,2,68.5,7859
Itaim Bibi,apto,3,1,0,55.6,9222
Tatuapé,apto,1,2,0,54.8,3939
Tatuapé,casa,2,2,1,33.7,5194
